사도행전 9:23-31,2020_12_6
사도행전 5:1-11,2020_11_29
사도행전 1:1-8,2020_11_22
레위기 19:2,2020_11_15
레위기 7:37-38,2020_11_8
레위기 17:14,2020_11_1
레위기 8:34-36,2020_10_25
레위기 16:29-24,2020_10_18
레위기 10:8-11,2020_10_11
데살로니가전서 4:3,2020_10_4
데살로니가전서 4:1-12,2020_9_27
누가복음 17:11-19,2020_9_20
갈라디아서 6:1-10,2020_9_13
마태복음 1:1-17,2020_9_6
갈라디아서 4:8-20,2020_8_30
갈라디아서 3:1-9,2020_8_23
빌립보서 2:12-16,2020_8_16
빌립보서 3:17-21,2020_8_9
빌립보서 1:21-26,2020_8_2
빌리보서 1:1-5,2020_7_26
데살로니가전서 1:1-10,2020_7_19
에베소서 1:3-14,2020_7_12
창세기 2:8-17,2020_7_5
시편 92편,2020_6_28
시편 2:1-12,2020_6_21
시편 1편-2편,2020_6_14
사사기 14:10-14,2020_6_7
마태복음 28:1-10,2020_5_31
신명기 11:8-12,2020_5_24
마태복음 20:1-16,2020_5_17
에베소서 2:1-3,2020_5_10
창세기 50:22-26,2020_5_3
누가복음 15:1-11,2020_4_26
마가복음 5:25-34,2020_4_19
창세기 22:1-14,2020_4_12
신명기 30:6,2020_4_5
No Content,2020_3_29
No Content,2020_3_22
창세기 17:1-7,2020_3_15
신명기 5:1-3,2020_3_8
창세기 2:8,2020_3_1
창세기 3:6,2020_2_23
창세기 3:1-7,2020_2_16
창세기 1:26,2020_2_9
고린도전서 15:14-20,2020_2_2
요한복음 19:26-27,2020_1_26
No Content,2020_1_19
창세기 1:31-2:3,2020_1_12
창세기 1:1-5,2020_1_5
